word	score
chaotic	-0.3
chasten	-0.3
chastise	-0.3
chastisement	-0.3
chatter	-0.3
chatterbox	-0.3
cheap	-0.3
cheapen	-0.3
cheaply	-0.3
cheat	-0.3
cheated	-0.3
cheater	-0.3
cheating	-0.3
cheats	-0.3
checkered	-0.3
cheerless	-0.3
cheesy	-0.3
chide	-0.3
childish	-0.3
chill	-0.3
chilly	-0.3
chintzy	-0.3
choke	-0.3
choleric	-0.3
choppy	-0.3
chore	-0.3
chronic	-0.3
chunky	-0.3
clamor	-0.3
clamorous	-0.3
clash	-0.3
cliche	-0.3
cliched	-0.3
clique	-0.3
clog	-0.3
clogged	-0.3
clogs	-0.3
cloud	-0.3
clouding	-0.3
cloudy	-0.3
clueless	-0.3
clumsy	-0.3
clunky	-0.3
coarse	-0.3
cocky	-0.3
coerce	-0.3
coercion	-0.3
coercive	-0.3
cold	-0.3
coldly	-0.3
collapse	-0.3
collude	-0.3
collusion	-0.3
combative	-0.3
combust	-0.3
comical	-0.3
commiserate	-0.3
commonplace	-0.3
commotion	-0.3
commotions	-0.3
complacent	-0.3
complain	-0.3
complained	-0.3
complaining	-0.3
complains	-0.3
complaint	-0.3
complaints	-0.3
complex	-0.3
complicated	-0.3
complication	-0.3
complicit	-0.3
compulsion	-0.3
compulsive	-0.3
concede	-0.3
conceded	-0.3
conceit	-0.3
conceited	-0.3
concen	-0.3
concens	-0.3
concern	-0.3
concerned	-0.3
concerns	-0.3
concession	-0.3
concessions	-0.3
condemn	-0.3
condemnable	-0.3
condemnation	-0.3
condemned	-0.3
condemns	-0.3
condescend	-0.3
condescending	-0.3
condescendingly	-0.3
condescension	-0.3
confess	-0.3
confession	-0.3
confessions	-0.3
confined	-0.3
conflict	-0.3
conflicted	-0.3
conflicting	-0.3
conflicts	-0.3
confound	-0.3
confounded	-0.3
confounding	-0.3
confront	-0.3
confrontation	-0.3
confrontational	-0.3
confuse	-0.3
confused	-0.3
confuses	-0.3
confusing	-0.3
confusion	-0.3
confusions	-0.3
congested	-0.3
congestion	-0.3
cons	-0.3
conscons	-0.3
conservative	-0.3
conspicuous	-0.3
conspicuously	-0.3
conspiracies	-0.3
conspiracy	-0.3
conspirator	-0.3
conspiratorial	-0.3
conspire	-0.3
consternation	-0.3
contagious	-0.3
contaminate	-0.3
contaminated	-0.3
contaminates	-0.3
contaminating	-0.3
contamination	-0.3
contempt	-0.3
contemptible	-0.3
contemptuous	-0.3
contemptuously	-0.3
contend	-0.3
contention	-0.3
contentious	-0.3
contort	-0.3
contortions	-0.3
contradict	-0.3
contradiction	-0.3
contradictory	-0.3
contrariness	-0.3
contravene	-0.3
contrive	-0.3
contrived	-0.3
controversial	-0.3
controversy	-0.3
convoluted	-0.3
corrode	-0.3
corrosion	-0.3
corrosions	-0.3
corrosive	-0.3
corrupt	-0.3
corrupted	-0.3
corrupting	-0.3
corruption	-0.3
corrupts	-0.3
corruptted	-0.3
costlier	-0.3
costly	-0.3
counter-productive	-0.3
counterproductive	-0.3
coupists	-0.3
covetous	-0.3
coward	-0.3
cowardly	-0.3
crabby	-0.3
crack	-0.3
cracked	-0.3
cracks	-0.3
craftily	-0.3
craftly	-0.3
crafty	-0.3
cramp	-0.3
cramped	-0.3
cramping	-0.3
cranky	-0.3
crap	-0.3
crappy	-0.3
craps	-0.3
crash	-0.3
crashed	-0.3
crashes	-0.3
crashing	-0.3
crass	-0.3
craven	-0.3
cravenly	-0.3
craze	-0.3
crazily	-0.3
craziness	-0.3
crazy	-0.3
creak	-0.3
creaking	-0.3
creaks	-0.3
credulous	-0.3
creep	-0.3
creeping	-0.3
creeps	-0.3
creepy	-0.3
crept	-0.3
crime	-0.3
criminal	-0.3
cringe	-0.3
cringed	-0.3
cringes	-0.3
cripple	-0.3
crippled	-0.3
cripples	-0.3
crippling	-0.3
crisis	-0.3
critic	-0.3
critical	-0.3
criticism	-0.3
criticisms	-0.3
criticize	-0.3
criticized	-0.3
criticizing	-0.3
critics	-0.3
cronyism	-0.3
crook	-0.3
crooked	-0.3
crooks	-0.3
crowded	-0.3
crowdedness	-0.3
crude	-0.3
cruel	-0.3
crueler	-0.3
cruelest	-0.3
cruelly	-0.3
cruelness	-0.3
cruelties	-0.3
cruelty	-0.3
crumble	-0.3
crumbling	-0.3
crummy	-0.3
crumple	-0.3
crumpled	-0.3
crumples	-0.3
crush	-0.3
crushed	-0.3
crushing	-0.3
cry	-0.3
culpable	-0.3
culprit	-0.3
cumbersome	-0.3
cunt	-0.3
cunts	-0.3
cuplrit	-0.3
curse	-0.3
cursed	-0.3
curses	-0.3
curt	-0.3
cuss	-0.3
